task,split,quantile,truth_label,decision,prediction_label,count,task_denominator,source_artifact_path,source_artifact_sha256
selective_scope,calibration,0.75,local,answered,local,0,480,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
selective_scope,calibration,0.75,local,answered,regional,0,480,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
selective_scope,calibration,0.75,local,abstained,not_answered,240,480,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
selective_scope,calibration,0.75,regional,answered,local,0,480,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
selective_scope,calibration,0.75,regional,answered,regional,120,480,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
selective_scope,calibration,0.75,regional,abstained,not_answered,120,480,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
detection,evaluation,,no_change,answered,no_change,450,1440,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
detection,evaluation,,no_change,answered,change,30,1440,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
detection,evaluation,,change,answered,no_change,30,1440,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
detection,evaluation,,change,answered,change,930,1440,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
forced_scope,evaluation,,local,answered,local,480,960,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
forced_scope,evaluation,,local,answered,regional,0,960,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
forced_scope,evaluation,,regional,answered,local,0,960,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
forced_scope,evaluation,,regional,answered,regional,480,960,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
target_only_scope,evaluation,,local,answered,local,480,960,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
target_only_scope,evaluation,,local,answered,regional,0,960,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
target_only_scope,evaluation,,regional,answered,local,480,960,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
target_only_scope,evaluation,,regional,answered,regional,0,960,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
selective_scope,evaluation,0.00,local,answered,local,480,960,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
selective_scope,evaluation,0.00,local,answered,regional,0,960,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
selective_scope,evaluation,0.00,local,abstained,not_answered,0,960,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
selective_scope,evaluation,0.00,regional,answered,local,0,960,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
selective_scope,evaluation,0.00,regional,answered,regional,480,960,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
selective_scope,evaluation,0.00,regional,abstained,not_answered,0,960,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
selective_scope,evaluation,0.25,local,answered,local,257,960,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
selective_scope,evaluation,0.25,local,answered,regional,0,960,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
selective_scope,evaluation,0.25,local,abstained,not_answered,223,960,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
selective_scope,evaluation,0.25,regional,answered,local,0,960,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
selective_scope,evaluation,0.25,regional,answered,regional,480,960,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
selective_scope,evaluation,0.25,regional,abstained,not_answered,0,960,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
selective_scope,evaluation,0.50,local,answered,local,16,960,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
selective_scope,evaluation,0.50,local,answered,regional,0,960,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
selective_scope,evaluation,0.50,local,abstained,not_answered,464,960,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
selective_scope,evaluation,0.50,regional,answered,local,0,960,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
selective_scope,evaluation,0.50,regional,answered,regional,472,960,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
selective_scope,evaluation,0.50,regional,abstained,not_answered,8,960,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
selective_scope,evaluation,0.75,local,answered,local,0,960,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
selective_scope,evaluation,0.75,local,answered,regional,0,960,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
selective_scope,evaluation,0.75,local,abstained,not_answered,480,960,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
selective_scope,evaluation,0.75,regional,answered,local,0,960,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
selective_scope,evaluation,0.75,regional,answered,regional,234,960,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
selective_scope,evaluation,0.75,regional,abstained,not_answered,246,960,artifacts/v04_identifiability_core/v04_core_event_results.csv,775f3b148e936bcb59026e6982c18ae340f83df37dbe3512cdb4370808658462
